,year,gameid,league,teamname,side,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result
23,2021,6913-9194,LPL,Bilibili Gaming,Red,Samira,Camille,Ornn,Alistar,Maokai,Jayce,Graves,Twisted Fate,Jhin,Leona,1
24,2021,6914-9195,LPL,ThunderTalk Gaming,Blue,Akali,Aphelios,Kai'Sa,Alistar,Orianna,Aatrox,Olaf,LeBlanc,Jhin,Leona,0
25,2021,6914-9195,LPL,Royal Never Give Up,Red,Zoe,Renekton,Ornn,Volibear,Syndra,Camille,Pantheon,Viktor,Miss Fortune,Gragas,1
26,2021,6914-null,LPL,ThunderTalk Gaming,Blue,Akali,Pantheon,Aphelios,Miss Fortune,Samira,Renekton,Taliyah,Jayce,Jhin,Leona,0
27,2021,6914-null,LPL,Royal Never Give Up,Red,Zoe,Olaf,Kai'Sa,Viktor,Syndra,Gragas,Lillia,Lucian,Xayah,Alistar,1
28,2021,6915-9197,LPL,FunPlus Phoenix,Blue,Zoe,Taliyah,Pantheon,Ornn,Malphite,Gragas,Olaf,Orianna,Kai'Sa,Sett,1
29,2021,6915-9197,LPL,Oh My God,Red,Akali,Aatrox,Camille,Alistar,Viktor,Renekton,Graves,Galio,Aphelios,Thresh,0
30,2021,6915-9198,LPL,FunPlus Phoenix,Blue,Zoe,Taliyah,Pantheon,Renekton,Malphite,Camille,Graves,Twisted Fate,Kai'Sa,Sett,1
31,2021,6915-9198,LPL,Oh My God,Red,Akali,Aatrox,Olaf,Orianna,Galio,Jax,Nidalee,Viktor,Jhin,Alistar,0
32,2021,6916-9199,LPL,Rogue Warriors,Blue,Syndra,Olaf,Leona,LeBlanc,Twisted Fate,Aatrox,Nidalee,Zoe,Jhin,Galio,0
33,2021,6916-9199,LPL,Top Esports,Red,Yone,Akali,Pantheon,Volibear,Renekton,Ornn,Graves,Viktor,Kai'Sa,Alistar,1
34,2021,6916-9200,LPL,Rogue Warriors,Blue,Olaf,Ornn,Syndra,Alistar,Leona,Renekton,Nidalee,Jayce,Aphelios,Thresh,1
35,2021,6916-9200,LPL,Top Esports,Red,Yone,Akali,Pantheon,Irelia,Lucian,Kennen,Graves,Zoe,Kai'Sa,Sett,0
36,2021,6916-9201,LPL,Rogue Warriors,Blue,Olaf,Ornn,Syndra,Camille,Zoe,Gnar,Nidalee,Twisted Fate,Kai'Sa,Leona,1
37,2021,6916-9201,LPL,Top Esports,Red,Akali,Renekton,Aphelios,Yone,Irelia,Jayce,Graves,Viktor,Jhin,Alistar,0
38,2021,6917-9211,LPL,Team WE,Blue,Zoe,Yone,Nidalee,Jhin,Miss Fortune,Shen,Pantheon,Orianna,Kai'Sa,Galio,1
39,2021,6917-9211,LPL,Victory Five,Red,Olaf,Aatrox,Sett,Camille,Akali,Ornn,Graves,Syndra,Xayah,Leona,0
40,2021,6917-9212,LPL,Victory Five,Blue,Orianna,Kai'Sa,Olaf,Yone,Alistar,Gnar,Pantheon,Syndra,Jhin,Shen,1
41,2021,6917-9212,LPL,Team WE,Red,Zoe,Thresh,Nidalee,Maokai,Renekton,Aatrox,Sejuani,Viktor,Samira,Leona,0
42,2021,6917-9213,LPL,Team WE,Blue,Zoe,Yone,Nidalee,Malphite,Leona,Ornn,Graves,Syndra,Samira,Gragas,1
43,2021,6917-9213,LPL,Victory Five,Red,Orianna,Kai'Sa,Pantheon,Alistar,Galio,Camille,Olaf,Akali,Jhin,Sett,0
44,2021,6918-9214,LPL,LNG Esports,Blue,Syndra,Nidalee,Jayce,Kennen,Miss Fortune,Gnar,Pantheon,Orianna,Tristana,Leona,1
45,2021,6918-9214,LPL,Invictus Gaming,Red,Taliyah,Twisted Fate,Olaf,Ornn,Samira,Karma,Graves,Zoe,Jhin,Galio,0
46,2021,6918-9217,LPL,LNG Esports,Blue,Syndra,Nidalee,Jayce,Miss Fortune,Kai'Sa,Gnar,Olaf,Zoe,Tristana,Alistar,1
47,2021,6918-9217,LPL,Invictus Gaming,Red,Twisted Fate,Taliyah,Pantheon,Ornn,Camille,Vayne,Graves,Orianna,Lucian,Leona,0
48,2021,6919-9227,LPL,Bilibili Gaming,Blue,Nidalee,Taliyah,Gnar,Camille,Renekton,Ornn,Graves,Galio,Samira,Gragas,0
49,2021,6919-9227,LPL,JD Gaming,Red,Olaf,Leona,Akali,Alistar,Nautilus,Aatrox,Lillia,Twisted Fate,Kai'Sa,Thresh,1
50,2021,6919-9228,LPL,JD Gaming,Blue,Olaf,Leona,Akali,Orianna,Alistar,Gnar,Lillia,Twisted Fate,Vayne,Sett,1
51,2021,6919-9228,LPL,Bilibili Gaming,Red,Nidalee,Taliyah,Aatrox,Kai'Sa,Aphelios,Camille,Graves,Galio,Samira,Gragas,0
52,2021,6920-9231,LPL,Royal Never Give Up,Blue,Zoe,Camille,Renekton,Thresh,Twisted Fate,Orianna,Pantheon,Ryze,Kai'Sa,Leona,1
53,2021,6920-9231,LPL,Suning,Red,Akali,Gragas,Jayce,Alistar,Kennen,Aatrox,Olaf,Viktor,Aphelios,Galio,0
54,2021,6920-9233,LPL,Suning,Blue,Akali,Gragas,Aphelios,Lucian,Jayce,Aatrox,Nidalee,Azir,Samira,Maokai,0
55,2021,6920-9233,LPL,Royal Never Give Up,Red,Camille,Renekton,Kai'Sa,Leona,Viktor,Gnar,Lillia,Orianna,Xayah,Alistar,1
56,2021,6920-9234,LPL,Royal Never Give Up,Blue,Zoe,Camille,Renekton,Twisted Fate,Aatrox,Malphite,Olaf,Orianna,Kai'Sa,Leona,0
57,2021,6920-9234,LPL,Suning,Red,Akali,Gragas,Jayce,Nautilus,Alistar,Sylas,Pantheon,Viktor,Aphelios,Thresh,1
58,2021,6921-9241,LPL,Rogue Warriors,Blue,Ornn,Olaf,Camille,Wukong,Thresh,Gnar,Hecarim,Galio,Kai'Sa,Leona,0
59,2021,6921-9241,LPL,eStar,Red,Nidalee,Twisted Fate,Renekton,Graves,Lillia,Jayce,Pantheon,Orianna,Xayah,Alistar,1
60,2021,6921-9243,LPL,eStar,Blue,Nidalee,Twisted Fate,Zoe,Akali,Lillia,Renekton,Pantheon,Orianna,Xayah,Rakan,1
61,2021,6921-9243,LPL,Rogue Warriors,Red,Ornn,Olaf,Galio,Thresh,Leona,Gnar,Aatrox,Syndra,Samira,Alistar,0
62,2021,6922-9246,LPL,Top Esports,Blue,Nidalee,Samira,Zoe,Ornn,Gnar,Renekton,Sejuani,Syndra,Kai'Sa,Sett,1
63,2021,6922-9246,LPL,Rare Atom,Red,Akali,Pantheon,Olaf,Jarvan IV,Camille,Kennen,Graves,Orianna,Aphelios,Thresh,0
64,2021,6922-9248,LPL,Top Esports,Blue,Nidalee,Samira,Olaf,Gnar,Jayce,Ornn,Lee Sin,Zoe,Xayah,Leona,1
65,2021,6922-9248,LPL,Rare Atom,Red,Akali,Syndra,Pantheon,Hecarim,Sejuani,Renekton,Lillia,Yone,Kai'Sa,Sett,0
66,2021,6923-9255,LPL,Victory Five,Blue,Orianna,Taliyah,Leona,Renekton,Camille,Ornn,Olaf,Syndra,Samira,Alistar,0
67,2021,6923-9255,LPL,LGD Gaming,Red,Nidalee,Thresh,Zoe,Gnar,Gragas,Aatrox,Pantheon,Galio,Kai'Sa,Sett,1
68,2021,6923-9260,LPL,LGD Gaming,Blue,Nidalee,Zoe,Ornn,Yone,Twisted Fate,Gnar,Olaf,Syndra,Miss Fortune,Sett,0
69,2021,6923-9260,LPL,Victory Five,Red,Orianna,Kai'Sa,Pantheon,Alistar,Thresh,Jayce,Lillia,Lucian,Jhin,Leona,1
70,2021,6923-9262,LPL,Victory Five,Blue,Orianna,Samira,Pantheon,Syndra,Viktor,Gragas,Olaf,Ryze,Kai'Sa,Galio,1
71,2021,6923-9262,LPL,LGD Gaming,Red,Nidalee,Zoe,Ornn,Sett,Camille,Gnar,Graves,Twisted Fate,Jhin,Leona,0
72,2021,6924-9263,LPL,EDward Gaming,Blue,Twisted Fate,Camille,Galio,Graves,Lillia,Renekton,Nidalee,Orianna,Kai'Sa,Leona,1
73,2021,6924-9263,LPL,FunPlus Phoenix,Red,Pantheon,Akali,Olaf,Sett,Alistar,Ornn,Hecarim,Viktor,Aphelios,Thresh,0
74,2021,6924-9264,LPL,FunPlus Phoenix,Blue,Nidalee,Renekton,Pantheon,Sett,Leona,Jayce,Olaf,Rumble,Aphelios,Thresh,1
75,2021,6924-9264,LPL,EDward Gaming,Red,Twisted Fate,Camille,Akali,Orianna,Galio,Gnar,Graves,Zoe,Kai'Sa,Alistar,0
76,2021,6924-9268,LPL,EDward Gaming,Blue,Twisted Fate,Camille,Akali,Gnar,Jayce,Gragas,Olaf,Orianna,Aphelios,Thresh,1
77,2021,6924-9268,LPL,FunPlus Phoenix,Red,Nidalee,Renekton,Pantheon,Zoe,Ornn,Aatrox,Graves,Rumble,Kai'Sa,Leona,0
78,2021,6925-9277,LPL,LNG Esports,Blue,Lillia,Nidalee,Zoe,Thresh,Alistar,Renekton,Taliyah,Sett,Kai'Sa,Leona,1
79,2021,6925-9277,LPL,ThunderTalk Gaming,Red,Olaf,Tristana,Pantheon,Lucian,Orianna,Ornn,Graves,Twisted Fate,Vayne,Braum,0
80,2021,6925-9278,LPL,ThunderTalk Gaming,Blue,Tristana,Camille,Pantheon,Aatrox,Lucian,Renekton,Olaf,Karma,Miss Fortune,Seraphine,1
81,2021,6925-9278,LPL,LNG Esports,Red,Zoe,Twisted Fate,Taliyah,Leona,Alistar,Jayce,Nidalee,Orianna,Aphelios,Thresh,0
82,2021,6925-9279,LPL,LNG Esports,Blue,Lillia,Nidalee,Zoe,Seraphine,Thresh,Gnar,Pantheon,Azir,Xayah,Leona,1
83,2021,6925-9279,LPL,ThunderTalk Gaming,Red,Tristana,Olaf,Aphelios,Aatrox,Syndra,Renekton,Graves,Orianna,Kai'Sa,Nautilus,0
84,2021,6926-9284,LPL,Team WE,Blue,Nidalee,Camille,Aatrox,Kindred,Olaf,Ornn,Graves,Orianna,Tristana,Alistar,0
85,2021,6926-9284,LPL,Invictus Gaming,Red,Samira,Pantheon,Aphelios,Thresh,Xayah,Gnar,Lillia,Syndra,Kai'Sa,Leona,1
86,2021,6926-9285,LPL,Team WE,Blue,Nidalee,Gnar,Aatrox,Alistar,Sett,Camille,Taliyah,Orianna,Kai'Sa,Leona,1
87,2021,6926-9285,LPL,Invictus Gaming,Red,Samira,Pantheon,Aphelios,Ornn,Graves,Gragas,Olaf,Syndra,Jhin,Galio,0
88,2021,6926-9289,LPL,Team WE,Blue,Nidalee,Gnar,Jhin,Aatrox,Miss Fortune,Camille,Pantheon,Orianna,Tristana,Galio,1
89,2021,6926-9289,LPL,Invictus Gaming,Red,Samira,Aphelios,Kai'Sa,Sett,Alistar,Jayce,Lillia,Syndra,Lucian,Leona,0
90,2021,6927-9295,LPL,eStar,Blue,Zoe,Twisted Fate,Galio,Kindred,Ornn,Renekton,Olaf,Azir,Kai'Sa,Rakan,0
91,2021,6927-9295,LPL,Oh My God,Red,Syndra,Pantheon,Thresh,Sett,Gragas,Aatrox,Lillia,Orianna,Samira,Alistar,1
92,2021,6927-9297,LPL,eStar,Blue,Zoe,Twisted Fate,Samira,Renekton,Aatrox,Camille,Lee Sin,Galio,Kai'Sa,Leona,1
93,2021,6927-9297,LPL,Oh My God,Red,Syndra,Pantheon,Olaf,Sett,Rakan,Ornn,Graves,Orianna,Jhin,Alistar,0
94,2021,6927-9299,LPL,Oh My God,Blue,Syndra,Camille,Xayah,Thresh,Alistar,Aatrox,Olaf,Galio,Tristana,Leona,0
95,2021,6927-9299,LPL,eStar,Red,Zoe,Samira,Kai'Sa,Twisted Fate,Sylas,Renekton,Pantheon,Orianna,Vayne,Sett,1
96,2021,6928-9302,LPL,Bilibili Gaming,Blue,Nidalee,Syndra,Pantheon,Ornn,Renekton,Jayce,Graves,Twisted Fate,Miss Fortune,Alistar,1
97,2021,6928-9302,LPL,Victory Five,Red,Akali,Leona,Kai'Sa,Gragas,Camille,Gnar,Olaf,Zoe,Jhin,Bard,0
98,2021,6928-9304,LPL,Victory Five,Blue,Akali,Leona,Twisted Fate,Aphelios,Samira,Jayce,Lillia,Yone,Kai'Sa,Galio,1
99,2021,6928-9304,LPL,Bilibili Gaming,Red,Nidalee,Pantheon,Syndra,Alistar,Camille,Gnar,Olaf,Zoe,Kalista,Taric,0
100,2021,6928-9306,LPL,Bilibili Gaming,Blue,Nidalee,Syndra,Leona,Yone,Lucian,Camille,Pantheon,Galio,Miss Fortune,Nautilus,0
101,2021,6928-9306,LPL,Victory Five,Red,Akali,Kai'Sa,Twisted Fate,Gragas,Samira,Renekton,Lillia,Zoe,Jhin,Maokai,1
102,2021,6929-9310,LPL,Rogue Warriors,Blue,Camille,Olaf,Twisted Fate,Jayce,Ornn,Renekton,Lillia,Akali,Xayah,Alistar,0
103,2021,6929-9310,LPL,FunPlus Phoenix,Red,Nidalee,Pantheon,Gnar,Samira,Tristana,Gangplank,Taliyah,Ryze,Kai'Sa,Leona,1
104,2021,6929-9311,LPL,FunPlus Phoenix,Blue,Nidalee,Gnar,Taliyah,Ornn,Gangplank,Renekton,Lee Sin,Ryze,Aphelios,Thresh,1
105,2021,6929-9311,LPL,Rogue Warriors,Red,Camille,Olaf,Pantheon,Hecarim,Sejuani,Aatrox,Lillia,Irelia,Kai'Sa,Sett,0
106,2021,6930-9312,LPL,EDward Gaming,Blue,Galio,Twisted Fate,Renekton,Sett,Gnar,Aatrox,Olaf,Viktor,Xayah,Leona,1
107,2021,6930-9312,LPL,LGD Gaming,Red,Aphelios,Gragas,Pantheon,Orianna,Syndra,Jayce,Graves,Zoe,Kai'Sa,Thresh,0
108,2021,6930-9313,LPL,LGD Gaming,Blue,Aphelios,Olaf,Leona,Orianna,Alistar,Gnar,Lillia,Syndra,Kai'Sa,Nautilus,0
109,2021,6930-9313,LPL,EDward Gaming,Red,Galio,Pantheon,Twisted Fate,Akali,Sett,Renekton,Taliyah,Zoe,Xayah,Maokai,1
110,2021,6931-9318,LPL,Invictus Gaming,Blue,Thresh,Olaf,Renekton,Syndra,Sett,Gnar,Pantheon,Twisted Fate,Miss Fortune,Nautilus,1
111,2021,6931-9318,LPL,eStar,Red,Nidalee,Lillia,Kai'Sa,Jhin,Leona,Camille,Graves,Galio,Xayah,Alistar,0
112,2021,6931-9320,LPL,Invictus Gaming,Blue,Renekton,Olaf,Thresh,Lee Sin,Graves,Gnar,Pantheon,Zoe,Xayah,Rakan,1
113,2021,6931-9320,LPL,eStar,Red,Nidalee,Lillia,Twisted Fate,Leona,Syndra,Ornn,Hecarim,Orianna,Kai'Sa,Galio,0
114,2021,6932-9323,LPL,Rare Atom,Blue,Camille,Twisted Fate,Akali,Irelia,Thresh,Jayce,Pantheon,Zoe,Xayah,Leona,1
115,2021,6932-9323,LPL,Suning,Red,Samira,Kai'Sa,Aphelios,Ornn,Nidalee,Gnar,Olaf,Syndra,Miss Fortune,Alistar,0
116,2021,6932-9326,LPL,Rare Atom,Blue,Camille,Twisted Fate,Akali,Irelia,Leona,Wukong,Olaf,Zoe,Xayah,Rakan,1
117,2021,6932-9326,LPL,Suning,Red,Samira,Aphelios,Kai'Sa,Ornn,Alistar,Gnar,Pantheon,Syndra,Miss Fortune,Nautilus,0
118,2021,6933-9335,LPL,ThunderTalk Gaming,Blue,Camille,Orianna,Pantheon,Gnar,Aatrox,Ornn,Olaf,Syndra,Tristana,Nautilus,0
119,2021,6933-9335,LPL,Team WE,Red,Renekton,Ryze,Jhin,Alistar,Thresh,Gangplank,Nidalee,Zoe,Kai'Sa,Leona,1
120,2021,6933-9338,LPL,ThunderTalk Gaming,Blue,Camille,Pantheon,Jayce,Sett,Leona,Gnar,Olaf,Viktor,Vayne,Braum,0
121,2021,6933-9338,LPL,Team WE,Red,Renekton,Ryze,Jhin,Syndra,Zilean,Gangplank,Nidalee,Zoe,Kai'Sa,Karma,1
122,2021,6934-9342,LPL,Oh My God,Blue,Camille,Akali,Olaf,Lucian,Jayce,Rumble,Taliyah,Renekton,Kai'Sa,Sett,0
123,2021,6934-9342,LPL,Royal Never Give Up,Red,Twisted Fate,Zoe,Pantheon,Alistar,Leona,Gnar,Nidalee,Orianna,Aphelios,Thresh,1
124,2021,6934-9344,LPL,Royal Never Give Up,Blue,Twisted Fate,Zoe,Pantheon,Kindred,Hecarim,Lucian,Nidalee,Renekton,Samira,Alistar,1
125,2021,6934-9344,LPL,Oh My God,Red,Camille,Akali,Olaf,Thresh,Xayah,Orianna,Lillia,Jax,Kai'Sa,Galio,0
126,2021,6935-9353,LPL,Rare Atom,Blue,Akali,Leona,Twisted Fate,Ornn,Thresh,Renekton,Lillia,Orianna,Xayah,Nautilus,0
127,2021,6935-9353,LPL,Bilibili Gaming,Red,Samira,Kai'Sa,Zoe,Rakan,Yone,Gragas,Graves,Syndra,Jhin,Alistar,1
128,2021,6935-9356,LPL,Bilibili Gaming,Blue,Samira,Aphelios,Tristana,Renekton,Jayce,Camille,Graves,Galio,Kai'Sa,Alistar,1
129,2021,6935-9356,LPL,Rare Atom,Red,Akali,Twisted Fate,Jhin,Syndra,Orianna,Gnar,Nidalee,Zoe,Xayah,Leona,0
130,2021,6936-9359,LPL,EDward Gaming,Blue,Twisted Fate,Taliyah,Udyr,Aphelios,Xayah,Renekton,Nidalee,LeBlanc,Kai'Sa,Sett,1
131,2021,6936-9359,LPL,JD Gaming,Red,Olaf,Pantheon,Orianna,Leona,Syndra,Ornn,Graves,Zoe,Miss Fortune,Galio,0
132,2021,6936-9361,LPL,JD Gaming,Blue,Olaf,Pantheon,Orianna,Syndra,Lucian,Gnar,Lillia,LeBlanc,Kai'Sa,Alistar,0
133,2021,6936-9361,LPL,EDward Gaming,Red,Twisted Fate,Udyr,Zoe,Akali,Galio,Renekton,Taliyah,Viktor,Xayah,Leona,1
134,2021,6937-9369,LPL,Top Esports,Blue,Jayce,Twisted Fate,Nidalee,Gangplank,Lillia,Gnar,Gragas,Syndra,Samira,Rell,1
135,2021,6937-9369,LPL,LGD Gaming,Red,Akali,Pantheon,Olaf,Sejuani,Renekton,Ornn,Graves,Zoe,Aphelios,Thresh,0
136,2021,6937-9372,LPL,LGD Gaming,Blue,Akali,Samira,Syndra,Lucian,Zoe,Camille,Lillia,Galio,Kai'Sa,Leona,0
137,2021,6937-9372,LPL,Top Esports,Red,Pantheon,Aphelios,Olaf,Ornn,Gangplank,Gnar,Gragas,Ryze,Xayah,Alistar,1
138,2021,6938-9374,LPL,FunPlus Phoenix,Blue,Camille,Nidalee,Lillia,Galio,Irelia,Gnar,Olaf,Viktor,Miss Fortune,Seraphine,1
139,2021,6938-9374,LPL,Suning,Red,Ryze,Pantheon,Samira,Rumble,Orianna,Wukong,Jarvan IV,Twisted Fate,Aphelios,Thresh,0
140,2021,6938-9377,LPL,Suning,Blue,Ryze,Olaf,Twisted Fate,Galio,Yone,Renekton,Lee Sin,Syndra,Xayah,Alistar,0
141,2021,6938-9377,LPL,FunPlus Phoenix,Red,Camille,Nidalee,Pantheon,Lillia,Rengar,Gnar,Taliyah,Kled,Kai'Sa,Leona,1
142,2021,6939-9384,LPL,Rogue Warriors,Blue,Camille,Rell,Olaf,Ornn,Gnar,Renekton,Lee Sin,Twisted Fate,Samira,Galio,0
143,2021,6939-9384,LPL,Victory Five,Red,Pantheon,Akali,Nidalee,Taliyah,Alistar,Gragas,Graves,Zoe,Kai'Sa,Leona,1
144,2021,6939-9386,LPL,Victory Five,Blue,Akali,Taliyah,Nidalee,Irelia,Yone,Renekton,Udyr,Ryze,Kai'Sa,Alistar,1
145,2021,6939-9386,LPL,Rogue Warriors,Red,Pantheon,Zoe,Olaf,Camille,Orianna,Gnar,Lillia,Syndra,Samira,Rell,0
146,2021,6940-9389,LPL,Team WE,Blue,Tristana,Thresh,Taliyah,Renekton,Ornn,Gnar,Graves,Zoe,Kai'Sa,Alistar,1
147,2021,6940-9389,LPL,LNG Esports,Red,Syndra,Pantheon,Olaf,Gangplank,Leona,Camille,Nidalee,Orianna,Xayah,Rakan,0
148,2021,6940-9392,LPL,Team WE,Blue,Tristana,Taliyah,Thresh,Zoe,Azir,Gangplank,Graves,Orianna,Kai'Sa,Sett,1
149,2021,6940-9392,LPL,LNG Esports,Red,Syndra,Pantheon,Olaf,Camille,Leona,Gnar,Lillia,Galio,Xayah,Alistar,0
150,2021,6941-9400,LPL,EDward Gaming,Blue,Nidalee,Graves,Elise,Zilean,Galio,Gnar,Lillia,Azir,Kai'Sa,Sett,1
151,2021,6941-9400,LPL,ThunderTalk Gaming,Red,Olaf,Pantheon,Renekton,Camille,Syndra,Irelia,Hecarim,Orianna,Aphelios,Thresh,0
152,2021,6941-9402,LPL,ThunderTalk Gaming,Blue,Pantheon,Olaf,Kai'Sa,Jayce,Camille,Gnar,Rek'Sai,Orianna,Samira,Alistar,0
153,2021,6941-9402,LPL,EDward Gaming,Red,Nidalee,Elise,Renekton,Hecarim,Taliyah,Gangplank,Lillia,Azir,Aphelios,Thresh,1
154,2021,6942-9406,LPL,JD Gaming,Blue,Samira,Nidalee,Xayah,Azir,Jayce,Aatrox,Elise,Orianna,Kai'Sa,Gragas,1
155,2021,6942-9406,LPL,Rare Atom,Red,Twisted Fate,Udyr,Zoe,Olaf,Sett,Gnar,Pantheon,Syndra,Aphelios,Thresh,0
156,2021,6942-9408,LPL,Rare Atom,Blue,Twisted Fate,Udyr,Taliyah,Gnar,Leona,Ornn,Olaf,Syndra,Kai'Sa,Sett,0
157,2021,6942-9408,LPL,JD Gaming,Red,Nidalee,Samira,Xayah,Jayce,Alistar,Aatrox,Pantheon,Zoe,Vayne,Galio,1
158,2021,6943-9412,LPL,Royal Never Give Up,Blue,Zoe,Olaf,Taliyah,Gragas,Ornn,Lucian,Lillia,Renekton,Xayah,Alistar,1
159,2021,6943-9412,LPL,Victory Five,Red,Orianna,Pantheon,Kai'Sa,Akali,Jayce,Gnar,Udyr,Ryze,Jhin,Leona,0
160,2021,6943-9413,LPL,Victory Five,Blue,Orianna,Aphelios,Renekton,Akali,Malphite,Camille,Lillia,Yone,Miss Fortune,Thresh,1
161,2021,6943-9413,LPL,Royal Never Give Up,Red,Zoe,Pantheon,Kai'Sa,Galio,Gragas,Gnar,Hecarim,Rumble,Xayah,Alistar,0
162,2021,6943-9414,LPL,Royal Never Give Up,Blue,Zoe,Lillia,Camille,Syndra,Leona,Akali,Olaf,Twisted Fate,Aphelios,Thresh,1
163,2021,6943-9414,LPL,Victory Five,Red,Pantheon,Kai'Sa,Renekton,Orianna,Azir,Gragas,Graves,Ryze,Miss Fortune,Nautilus,0
164,2021,6944-9415,LPL,LNG Esports,Blue,Aphelios,Camille,Olaf,Gragas,Leona,Gnar,Pantheon,Zoe,Samira,Alistar,1
165,2021,6944-9415,LPL,Bilibili Gaming,Red,Tristana,Taliyah,Kai'Sa,Galio,Orianna,Jayce,Graves,Twisted Fate,Jhin,Rell,0
166,2021,6944-9416,LPL,Bilibili Gaming,Blue,Tristana,Taliyah,Pantheon,Vayne,Xayah,Gangplank,Lillia,Zoe,Samira,Leona,1
167,2021,6944-9416,LPL,LNG Esports,Red,Twisted Fate,Kai'Sa,Olaf,Camille,Lucian,Gnar,Graves,Orianna,Aphelios,Alistar,0
168,2021,6944-9417,LPL,LNG Esports,Blue,Camille,Graves,Zoe,Gangplank,Syndra,Ornn,Olaf,Azir,Aphelios,Thresh,1
169,2021,6944-9417,LPL,Bilibili Gaming,Red,Tristana,Pantheon,Taliyah,Gnar,Aatrox,Renekton,Lillia,Akali,Kai'Sa,Leona,0
170,2021,6945-9424,LPL,eStar,Blue,Taliyah,Aphelios,Gnar,Ryze,Gangplank,Volibear,Lillia,Zoe,Xayah,Gragas,0
171,2021,6945-9424,LPL,FunPlus Phoenix,Red,Pantheon,Olaf,Graves,Thresh,Rakan,Jayce,Nidalee,Renekton,Kai'Sa,Rell,1
172,2021,6945-9426,LPL,FunPlus Phoenix,Blue,Graves,Thresh,Pantheon,Lee Sin,Hecarim,Renekton,Taliyah,Sett,Vayne,Alistar,1
